FK_USER_ID,avg_impact_hr,max_impact_hr,session_count,impact_sign
16587,0.04032258064516129,31.0,125,1.0
16661,-0.06896551724137931,21.0,89,-1.0
16671,0.36363636363636365,10.0,24,1.0
16717,0.2198581560283688,31.0,143,1.0
16964,-0.058394160583941604,19.0,139,-1.0
17067,0.2,5.0,11,1.0
17069,0.044444444444444446,34.0,137,1.0
17109,-0.45714285714285713,28.0,37,-1.0
17207,1.24,56.0,27,1.0
17229,-0.17647058823529413,9.0,18,-1.0
17243,0.08860759493670886,16.0,80,1.0
17569,0.06493506493506493,22.0,79,1.0
17654,0.25,11.0,26,1.0
18189,-0.22727272727272727,29.0,134,-1.0
18203,0.11,30.0,102,1.0
18486,-0.09523809523809523,17.0,65,-1.0
18622,0.0707070707070707,29.0,100,1.0
18785,0.018018018018018018,18.0,113,1.0
18854,1.1818181818181819,51.0,35,1.0
18879,0.18253968253968253,16.0,128,1.0
19187,0.0,18.0,106,0.0
19205,0.2857142857142857,21.0,51,1.0
19245,-0.24675324675324675,23.0,78,-1.0
19268,-0.018691588785046728,43.0,109,-1.0
19565,0.43859649122807015,40.0,59,1.0
19648,-0.11486486486486487,26.0,150,-1.0
19700,0.17543859649122806,15.0,59,1.0
19797,0.0392156862745098,31.0,104,1.0
20018,-0.08294930875576037,11.0,219,-1.0
20198,-0.11976047904191617,18.0,169,-1.0
20232,-0.11827956989247312,27.0,188,-1.0
20325,0.5,7.0,22,1.0
20492,-0.05263157894736842,27.0,154,-1.0
20506,-0.14754098360655737,22.0,124,-1.0
20606,0.14285714285714285,13.0,51,1.0
20720,-0.6956521739130435,22.0,25,-1.0
20920,-0.6666666666666666,14.0,23,-1.0
21026,0.7857142857142857,51.0,29,1.0
21029,-0.1111111111111111,28.0,10,-1.0
21119,-0.23404255319148937,19.0,48,-1.0
21178,-0.7407407407407407,17.0,28,-1.0
21255,-0.057971014492753624,26.0,140,-1.0
21290,-0.10784313725490197,30.0,103,-1.0
21364,0.056,21.0,126,1.0
21365,-0.03937007874015748,11.0,129,-1.0
21443,-0.1834862385321101,16.0,111,-1.0
21597,0.10752688172043011,11.0,95,1.0
21699,0.3888888888888889,25.0,37,1.0
21775,0.075,38.0,41,1.0
21851,0.005917159763313609,13.0,171,1.0
21947,0.8823529411764706,62.0,19,1.0
22110,0.024096385542168676,21.0,85,1.0
22120,0.11428571428571428,14.0,107,1.0
22331,-0.3275862068965517,20.0,59,-1.0
22479,-0.046511627906976744,32.0,88,-1.0
22565,0.14893617021276595,25.0,95,1.0
22691,-0.18421052631578946,9.0,40,-1.0
22809,0.10191082802547771,19.0,159,1.0
22883,-0.029197080291970802,19.0,139,-1.0
22885,0.1414141414141414,18.0,100,1.0
23040,0.05714285714285714,48.0,141,1.0
23087,-0.24,13.0,27,-1.0
23207,-0.014218009478672985,24.0,213,-1.0
23515,0.2692307692307692,15.0,28,1.0
23613,-0.08108108108108109,18.0,150,-1.0
23616,-0.22602739726027396,22.0,148,-1.0
23634,0.7692307692307693,46.0,41,1.0
23635,0.8235294117647058,46.0,35,1.0
23734,0.0,23.0,139,0.0
23878,-0.11818181818181818,20.0,112,-1.0
23919,0.06140350877192982,30.0,116,1.0
23945,0.23275862068965517,43.0,118,1.0
24003,-0.017094017094017096,36.0,236,-1.0
24025,-0.28205128205128205,8.0,41,-1.0
24064,0.6153846153846154,13.0,15,1.0
24074,-0.1346153846153846,37.0,53,-1.0
24159,-0.015625,26.0,130,-1.0
24212,-0.2569444444444444,22.0,146,-1.0
24242,0.07377049180327869,46.0,124,1.0
24255,-1.0975609756097562,10.0,43,-1.0
24261,-0.007751937984496124,11.0,260,-1.0
24289,-0.09302325581395349,22.0,87,-1.0
24303,-0.24444444444444444,10.0,47,-1.0
24345,0.4230769230769231,84.0,105,1.0
24394,0.6923076923076923,23.0,28,1.0
24433,0.3392857142857143,9.0,58,1.0
24461,0.014705882352941176,11.0,138,1.0
24538,-0.15584415584415584,20.0,79,-1.0
24551,-0.0234375,19.0,129,-1.0
24562,0.04918032786885246,23.0,62,1.0
24723,-2.0,88.0,21,-1.0
24742,0.0,46.0,140,0.0
24823,0.04225352112676056,43.0,286,1.0
24831,0.4,21.0,42,1.0
25032,0.020833333333333332,10.0,49,1.0
25312,0.25203252032520324,31.0,125,1.0
25419,-0.03529411764705882,7.0,86,-1.0
25423,-0.9850746268656716,72.0,68,-1.0
25443,-0.08527131782945736,22.0,131,-1.0
25580,-0.05947955390334572,15.0,271,-1.0
25615,0.05755395683453238,16.0,140,1.0
25623,0.06428571428571428,20.0,142,1.0
25675,1.8333333333333333,17.0,14,1.0
25721,0.10084033613445378,27.0,121,1.0
25755,-1.5714285714285714,12.0,15,-1.0
25776,0.2702702702702703,21.0,39,1.0
25831,0.08163265306122448,17.0,149,1.0
25847,-0.02717391304347826,20.0,186,-1.0
25896,0.6875,22.0,34,1.0
25909,-1.8333333333333333,32.0,25,-1.0
25982,1.8888888888888888,26.0,10,1.0
25990,-1.0769230769230769,10.0,15,-1.0
26021,0.02877697841726619,19.0,140,1.0
26175,-0.875,4.0,18,-1.0
26190,0.5555555555555556,6.0,10,1.0
26280,0.0,15.0,79,0.0
26288,-0.2361111111111111,12.0,74,-1.0
26382,0.15555555555555556,8.0,47,1.0
26393,-0.32,14.0,27,-1.0
26527,-0.7692307692307693,44.0,67,-1.0
26554,-0.25210084033613445,62.0,121,-1.0
26581,-0.021897810218978103,13.0,139,-1.0
26644,-0.11290322580645161,9.0,126,-1.0
26692,0.0234375,15.0,130,1.0
26734,0.009009009009009009,17.0,113,1.0
26736,-0.04,39.0,126,-1.0
26767,0.3488372093023256,42.0,44,1.0
26771,0.058823529411764705,19.0,18,1.0
26807,-0.007142857142857143,10.0,141,-1.0
26997,-0.45161290322580644,33.0,32,-1.0
27259,0.16216216216216217,18.0,38,1.0
27262,0.2127659574468085,30.0,49,1.0
27265,-0.03669724770642202,9.0,111,-1.0
27268,2.9285714285714284,26.0,16,1.0
27282,-0.5416666666666666,33.0,98,-1.0
27292,-0.05063291139240506,13.0,81,-1.0
27341,-0.030927835051546393,6.0,293,-1.0
27359,0.1111111111111111,12.0,47,1.0
27430,-0.16666666666666666,13.0,110,-1.0
27478,0.0,20.0,133,0.0
27602,0.0,18.0,93,0.0
27643,-0.006944444444444444,20.0,146,-1.0
27684,-0.04807692307692308,27.0,105,-1.0
27771,0.02962962962962963,24.0,137,1.0
27780,0.0,31.0,24,0.0
27783,0.0375,22.0,162,1.0
27786,-0.29927007299270075,49.0,139,-1.0
27849,0.07228915662650602,27.0,85,1.0
27854,-0.06569343065693431,28.0,139,-1.0
27871,0.09523809523809523,36.0,106,1.0
27877,0.31868131868131866,26.0,92,1.0
27918,-0.028985507246376812,16.0,139,-1.0
27928,-0.15384615384615385,7.0,15,-1.0
27993,-0.046153846153846156,52.0,131,-1.0
28032,-0.15671641791044777,17.0,135,-1.0
28062,-0.1111111111111111,24.0,137,-1.0
28079,-0.009708737864077669,17.0,104,-1.0
28080,0.02666666666666667,39.0,76,1.0
28131,0.043795620437956206,19.0,138,1.0
28181,-0.1328125,12.0,130,-1.0
